"","...1","Name","Season","Stat","Actual","Predicted","diff","Actual_Percentile","Predicted_Percentile"
"1",1029,"Alek Thomas",2023,"Next_xwOBA",0.345,0.40358144,0.058581440448761,82,25
"2",1030,"Emmanuel Rivera",2023,"Next_xwOBA",0.302,0.4213516,0.119351611614227,39,49
"3",1031,"Josh Bell",2023,"Next_xwOBA",0.308,0.44637552,0.138375519037247,47,81
"4",1032,"Logan O'Hoppe",2023,"Next_xwOBA",0.346,0.42597494,0.0799749352931977,84,57
"5",1033,"James McCann",2023,"Next_xwOBA",0.298,0.40489936,0.10689935874939,35,28
"6",1034,"Michael Massey",2023,"Next_xwOBA",0.318,0.41968024,0.101680237770081,57,47
"7",1035,"Luke Maile",2023,"Next_xwOBA",0.254,0.41091946,0.156919457674026,4,32
"8",1036,"J.J. Bleday",2023,"Next_xwOBA",0.331,0.4111981,0.0801981093883514,71,33
"9",1037,"Rob Refsnyder",2023,"Next_xwOBA",0.343,0.41306365,0.070063645362854,81,36
"10",1038,"Amed Rosario",2023,"Next_xwOBA",0.288,0.40174407,0.113744067668915,25,22
"11",1039,"Adam Frazier",2023,"Next_xwOBA",0.291,0.39190155,0.100901552677155,29,13
"12",1040,"Hunter Renfroe",2023,"Next_xwOBA",0.291,0.40464744,0.113647439718246,29,27
"13",1041,"Garrett Cooper",2023,"Next_xwOBA",0.326,0.419376,0.0933759858608246,66,46
"14",1042,"Robbie Grossman",2023,"Next_xwOBA",0.301,0.42200333,0.121003328800201,38,51
"15",1043,"Andrew Vaughn",2023,"Next_xwOBA",0.332,0.4361285,0.104128497123718,73,73
"16",1044,"Victor Robles",2023,"Next_xwOBA",0.312,0.39660475,0.0846047465801239,51,16
"17",1045,"Enmanuel Valdez",2023,"Next_xwOBA",0.328,0.4039827,0.0759826989173889,69,26
"18",1046,"Matt Thaiss",2023,"Next_xwOBA",0.32,0.42143142,0.101431422233582,60,50
"19",1047,"Dominic Smith",2023,"Next_xwOBA",0.303,0.4168779,0.113877895593643,41,41
"20",1048,"Trevor Larnach",2023,"Next_xwOBA",0.357,0.42207435,0.0650743477344513,89,52
"21",1049,"Elias Diaz",2023,"Next_xwOBA",0.27,0.40620053,0.136200528144836,10,29
"22",1050,"Nolan Schanuel",2023,"Next_xwOBA",0.327,0.40300307,0.076003066778183,67,25
"23",1051,"Nick Ahmed",2023,"Next_xwOBA",0.267,0.37460846,0.10760845708847,8,3
"24",1052,"Carson Kelly",2023,"Next_xwOBA",0.325,0.3743659,0.049365895986557,64,2
"25",1053,"Jake McCarthy",2023,"Next_xwOBA",0.333,0.38262442,0.0496244175434112,74,5
"26",1054,"Vinnie Pasquantino",2023,"Next_xwOBA",0.337,0.42969948,0.0926994805335998,76,63
"27",1055,"Tyler Freeman",2023,"Next_xwOBA",0.303,0.39067405,0.0876740546226502,41,10
"28",1056,"Kevin Pillar",2023,"Next_xwOBA",0.293,0.39679393,0.103793931722641,31,16
"29",1057,"Connor Wong",2023,"Next_xwOBA",0.289,0.40289757,0.113897566556931,27,24
"30",1058,"Anthony Rendon",2023,"Next_xwOBA",0.283,0.42953968,0.146539680480957,19,63
"31",1059,"Brendan Rodgers",2023,"Next_xwOBA",0.309,0.41241056,0.10341055727005,48,35
"32",1060,"MJ Melendez",2023,"Next_xwOBA",0.318,0.4538871,0.135887104988098,57,87
"33",1061,"Edward Olivares",2023,"Next_xwOBA",0.331,0.4179521,0.0869520905017853,71,45
"34",1062,"Jacob Young",2023,"Next_xwOBA",0.289,0.37868568,0.0896856830120087,27,3
"35",1063,"Richie Palacios",2023,"Next_xwOBA",0.325,0.41042912,0.0854291200637817,64,32
"36",1064,"Noelvi Marte",2023,"Next_xwOBA",0.243,0.4220243,0.179024309635162,2,51
"37",1065,"Jose Trevino",2023,"Next_xwOBA",0.277,0.37969232,0.102692316055298,14,4
"38",1066,"Javier Baez",2023,"Next_xwOBA",0.27,0.39137727,0.12137727022171,10,11
"39",1067,"Jorge Mateo",2023,"Next_xwOBA",0.27,0.39919695,0.129196952581406,10,19
"40",1068,"Shea Langeliers",2023,"Next_xwOBA",0.338,0.42884177,0.090841769695282,77,62
"41",1069,"Travis d'Arnaud",2023,"Next_xwOBA",0.349,0.4281741,0.0791741082668305,86,61
"42",1070,"Miguel Amaya",2023,"Next_xwOBA",0.291,0.40288156,0.111881562709808,29,24
"43",1071,"Ramon Urias",2023,"Next_xwOBA",0.324,0.40631777,0.0823177704811096,63,29
"44",1072,"Joc Pederson",2023,"Next_xwOBA",0.395,0.4580685,0.0630684900283813,97,90
"45",1073,"Alex Kirilloff",2023,"Next_xwOBA",0.311,0.4173869,0.106386889457703,50,42
"46",1074,"Christian Encarnacion-Strand",2023,"Next_xwOBA",0.306,0.42274112,0.116741115093231,45,53
