"","...1","Name","Season","Stat","Actual","Predicted","diff","Actual_Percentile","Predicted_Percentile"
"1",659,"Jonathan India",2022,"Next_xwOBA",0.339,0.28861156,0.0503884389400482,77,22
"2",660,"Connor Joe",2022,"Next_xwOBA",0.329,0.2955291,0.0334709026813507,67,32
"3",661,"Francisco Mejia",2022,"Next_xwOBA",0.243,0.26790795,0.0249079473018646,2,3
"4",662,"Rougned Odor",2022,"Next_xwOBA",0.32,0.29541692,0.024583078622818,57,32
"5",663,"Geraldo Perdomo",2022,"Next_xwOBA",0.275,0.28079456,0.00579456090927121,15,12
"6",664,"Nick Madrigal",2022,"Next_xwOBA",0.294,0.2898207,0.00417929911613462,29,24
"7",665,"Christian Arroyo",2022,"Next_xwOBA",0.273,0.307942,0.0349420030117035,14,53
"8",666,"Charlie Blackmon",2022,"Next_xwOBA",0.339,0.29794335,0.0410566463470459,77,38
"9",667,"Yu Chang",2022,"Next_xwOBA",0.258,0.29403085,0.0360308451652527,7,29
"10",668,"Edward Olivares",2022,"Next_xwOBA",0.338,0.30202767,0.0359723274707794,75,42
"11",669,"Jorge Soler",2022,"Next_xwOBA",0.374,0.31937626,0.0546237399578094,95,70
"12",670,"Jake Meyers",2022,"Next_xwOBA",0.283,0.27352032,0.00947967934608456,21,5
"13",671,"Victor Robles",2022,"Next_xwOBA",0.322,0.26371706,0.0582829446792603,60,2
"14",672,"Kyle Isbel",2022,"Next_xwOBA",0.289,0.29340285,0.00440285062789919,25,28
"15",673,"Enrique Hernandez",2022,"Next_xwOBA",0.272,0.299771,0.0277710108757019,13,40
"16",674,"Jake Cave",2022,"Next_xwOBA",0.277,0.29924005,0.0222400527000427,17,39
"17",675,"Joey Bart",2022,"Next_xwOBA",0.347,0.28895667,0.0580433280467987,83,22
"18",676,"James McCann",2022,"Next_xwOBA",0.319,0.30388978,0.0151102187633514,55,45
"19",677,"Jake Burger",2022,"Next_xwOBA",0.359,0.30633554,0.0526644613742828,89,49
"20",678,"Luis Garcia",2022,"Next_xwOBA",0.308,0.29741856,0.0105814354419708,42,36
"21",679,"Alan Trejo",2022,"Next_xwOBA",0.276,0.27631146,0.00031145715713498,16,7
"22",680,"Josh Jung",2022,"Next_xwOBA",0.337,0.27694672,0.0600532765388489,75,8
"23",681,"Nelson Velazquez",2022,"Next_xwOBA",0.374,0.3009111,0.0730889012813568,95,40
"24",682,"LaMonte Wade Jr.",2022,"Next_xwOBA",0.36,0.31135374,0.0486462569236755,90,60
"25",683,"Brandon Belt",2022,"Next_xwOBA",0.336,0.31673414,0.0192658648490906,74,66
"26",684,"Jason Delay",2022,"Next_xwOBA",0.263,0.26166102,0.00133897709846497,8,1
"27",685,"Gavin Sheets",2022,"Next_xwOBA",0.267,0.3033101,0.0363100962638855,11,45
"28",686,"Tucker Barnhart",2022,"Next_xwOBA",0.234,0.27447295,0.0404729518890381,1,6
"29",687,"Josh Lowe",2022,"Next_xwOBA",0.341,0.29256046,0.0484395418167115,79,27
"30",688,"Ezequiel Duran",2022,"Next_xwOBA",0.32,0.26934528,0.0506547164916992,57,4
"31",689,"Matt Vierling",2022,"Next_xwOBA",0.322,0.31955984,0.00244015765190125,60,71
"32",690,"Austin Nola",2022,"Next_xwOBA",0.266,0.30860284,0.0426028397083282,9,54
