"","...1","Name","Season","Stat","Actual","Predicted","diff","Actual_Percentile","Predicted_Percentile"
"1",1374,"Connor Joe",2024,"Next_xwOBA",NA,0.28327242,NA,NA,14
"2",1375,"David Peralta",2024,"Next_xwOBA",NA,0.29739267,NA,NA,36
"3",1376,"Paul Goldschmidt",2024,"Next_xwOBA",NA,0.32903776,NA,NA,83
"4",1377,"Adolis Garcia",2024,"Next_xwOBA",NA,0.32555225,NA,NA,78
"5",1378,"Justin Turner",2024,"Next_xwOBA",NA,0.30579722,NA,NA,48
"6",1379,"Cavan Biggio",2024,"Next_xwOBA",NA,0.2598644,NA,NA,1
"7",1380,"Austin Hays",2024,"Next_xwOBA",NA,0.29174837,NA,NA,27
"8",1381,"Brett Wisely",2024,"Next_xwOBA",NA,0.28154123,NA,NA,11
"9",1382,"Davis Schneider",2024,"Next_xwOBA",NA,0.3139755,NA,NA,64
"10",1383,"Kevin Kiermaier",2024,"Next_xwOBA",NA,0.26178443,NA,NA,1
"11",1384,"Austin Barnes",2024,"Next_xwOBA",NA,0.2856431,NA,NA,18
"12",1385,"Tyler Freeman",2024,"Next_xwOBA",NA,0.29716563,NA,NA,35
"13",1386,"Alex Verdugo",2024,"Next_xwOBA",NA,0.32055163,NA,NA,72
"14",1387,"Jason Heyward",2024,"Next_xwOBA",NA,0.28154004,NA,NA,11
"15",1388,"Gleyber Torres",2024,"Next_xwOBA",NA,0.31499895,NA,NA,65
"16",1389,"Tommy Pham",2024,"Next_xwOBA",NA,0.3265298,NA,NA,80
"17",1390,"Nolan Gorman",2024,"Next_xwOBA",NA,0.30822563,NA,NA,55
"18",1391,"Dairon Blanco",2024,"Next_xwOBA",NA,0.283422,NA,NA,15
"19",1392,"Romy Gonzalez",2024,"Next_xwOBA",NA,0.31533414,NA,NA,65
"20",1393,"Andruw Monasterio",2024,"Next_xwOBA",NA,0.30335978,NA,NA,45
"21",1394,"Ildemaro Vargas",2024,"Next_xwOBA",NA,0.28945187,NA,NA,23
"22",1395,"Dominic Smith",2024,"Next_xwOBA",NA,0.31138903,NA,NA,60
"23",1396,"Whit Merrifield",2024,"Next_xwOBA",NA,0.27880844,NA,NA,7
"24",1397,"Jonah Heim",2024,"Next_xwOBA",NA,0.30802003,NA,NA,54
"25",1398,"Ramon Urias",2024,"Next_xwOBA",NA,0.3062122,NA,NA,49
"26",1399,"Jorge Polanco",2024,"Next_xwOBA",NA,0.30966035,NA,NA,56
"27",1400,"Jo Adell",2024,"Next_xwOBA",NA,0.3156041,NA,NA,66
"28",1401,"Jake Cave",2024,"Next_xwOBA",NA,0.29099748,NA,NA,25
"29",1402,"Rhys Hoskins",2024,"Next_xwOBA",NA,0.31082752,NA,NA,58
"30",1403,"Tomas Nido",2024,"Next_xwOBA",NA,0.29513657,NA,NA,31
"31",1404,"Cristian Pache",2024,"Next_xwOBA",NA,0.30174667,NA,NA,42
"32",1405,"Tyler Wade",2024,"Next_xwOBA",NA,0.28117648,NA,NA,9
"33",1406,"Ke'Bryan Hayes",2024,"Next_xwOBA",NA,0.2961767,NA,NA,34
"34",1407,"Bo Bichette",2024,"Next_xwOBA",NA,0.3050147,NA,NA,47
"35",1408,"Stuart Fairchild",2024,"Next_xwOBA",NA,0.2832942,NA,NA,14
"36",1409,"MJ Melendez",2024,"Next_xwOBA",NA,0.3173885,NA,NA,68
"37",1410,"Dominic Canzone",2024,"Next_xwOBA",NA,0.29986355,NA,NA,39
"38",1411,"Santiago Espinal",2024,"Next_xwOBA",NA,0.28869757,NA,NA,22
"39",1412,"Will Brennan",2024,"Next_xwOBA",NA,0.2986456,NA,NA,38
"40",1413,"Jake Bauers",2024,"Next_xwOBA",NA,0.31245288,NA,NA,61
"41",1414,"Ramon Laureano",2024,"Next_xwOBA",NA,0.30729592,NA,NA,52
"42",1415,"Derek Hill",2024,"Next_xwOBA",NA,0.2804165,NA,NA,8
"43",1416,"Randal Grichuk",2024,"Next_xwOBA",NA,0.3182248,NA,NA,70
"44",1417,"Gary Sanchez",2024,"Next_xwOBA",NA,0.3154227,NA,NA,65
"45",1418,"Triston Casas",2024,"Next_xwOBA",NA,0.300576,NA,NA,41
"46",1419,"Michael A. Taylor",2024,"Next_xwOBA",NA,0.2924736,NA,NA,28
"47",1420,"Abraham Toro",2024,"Next_xwOBA",NA,0.29584488,NA,NA,33
"48",1421,"Edouard Julien",2024,"Next_xwOBA",NA,0.3063399,NA,NA,50
"49",1422,"Michael Harris II",2024,"Next_xwOBA",NA,0.30232337,NA,NA,44
"50",1423,"Jorge Mateo",2024,"Next_xwOBA",NA,0.28124774,NA,NA,10
"51",1424,"Lane Thomas",2024,"Next_xwOBA",NA,0.31736028,NA,NA,67
"52",1425,"Tyrone Taylor",2024,"Next_xwOBA",NA,0.29757032,NA,NA,36
